1	0.297449874
2	1.822242678
3	-0.846911616
4	-0.011689335
5	-1.221299128
6	-0.584226119
7	1.43087728
8	-0.004530407
9	1.306115149
10	-1.050386752
11	-1.044232885
12	0.044038266
13	-0.509938913
14	1.970847015
15	-0.064588589
16	-0.068478058
17	-0.614748036
18	-1.552139883
19	1.147676488
20	0.039647954
21	1.304374157
22	0.079547403
23	-1.462284608
24	0.039866793
25	-1.10287977
26	1.445798154
27	0.780329982
28	-0.116903633
29	0.16321175
30	-1.987787464
31	0.446850043
32	0.123271253
33	0.867530231
34	1.179393426
35	-1.387115495
36	-0.03286313
37	-1.293803073
38	0.42869045
39	1.392005297
40	-0.105806199
41	0.841131837
42	-1.743333272
43	-0.444020893
44	0.193807218
45	0.167619799
46	1.872330894
47	-0.82185239
48	-0.152237948
49	-1.042091312
50	-0.730146659
